id,date,weekday,description
412,2022-02-16,周三,工作日
413,2022-02-17,周四,工作日
414,2022-02-18,周五,工作日
415,2022-02-19,周六,周末
416,2022-02-20,周日,周末
417,2022-02-21,周一,工作日
418,2022-02-22,周二,工作日
419,2022-02-23,周三,工作日
420,2022-02-24,周四,工作日
421,2022-02-25,周五,工作日
422,2022-02-26,周六,周末
423,2022-02-27,周日,周末
424,2022-02-28,周一,工作日
425,2022-03-01,周二,工作日
426,2022-03-02,周三,工作日
427,2022-03-03,周四,工作日
428,2022-03-04,周五,工作日
429,2022-03-05,周六,周末
430,2022-03-06,周日,周末
431,2022-03-07,周一,工作日
432,2022-03-08,周二,"工作日,妇女节"
433,2022-03-09,周三,工作日
434,2022-03-10,周四,工作日
435,2022-03-11,周五,工作日
436,2022-03-12,周六,周末
437,2022-03-13,周日,周末
438,2022-03-14,周一,工作日
439,2022-03-15,周二,工作日
440,2022-03-16,周三,工作日
441,2022-03-17,周四,工作日
442,2022-03-18,周五,工作日
443,2022-03-19,周六,周末
444,2022-03-20,周日,周末
445,2022-03-21,周一,工作日
446,2022-03-22,周二,工作日
447,2022-03-23,周三,工作日
448,2022-03-24,周四,工作日
449,2022-03-25,周五,工作日
450,2022-03-26,周六,周末
451,2022-03-27,周日,周末
452,2022-03-28,周一,工作日
453,2022-03-29,周二,工作日
454,2022-03-30,周三,工作日
455,2022-03-31,周四,工作日
456,2022-04-01,周五,工作日
457,2022-04-02,周六,清明节
458,2022-04-03,周日,清明节
459,2022-04-04,周一,清明节
460,2022-04-05,周二,清明节
461,2022-04-06,周三,工作日
462,2022-04-07,周四,工作日
463,2022-04-08,周五,工作日
464,2022-04-09,周六,周末
465,2022-04-10,周日,周末
466,2022-04-11,周一,工作日
467,2022-04-12,周二,工作日
468,2022-04-13,周三,工作日
469,2022-04-14,周四,工作日
470,2022-04-15,周五,工作日
471,2022-04-16,周六,周末
472,2022-04-17,周日,周末
473,2022-04-18,周一,工作日
474,2022-04-19,周二,工作日
475,2022-04-20,周三,工作日
476,2022-04-21,周四,工作日
477,2022-04-22,周五,工作日
478,2022-04-23,周六,周末
479,2022-04-24,周日,劳动节
480,2022-04-25,周一,工作日
481,2022-04-26,周二,工作日
482,2022-04-27,周三,工作日
483,2022-04-28,周四,工作日
484,2022-04-29,周五,工作日
485,2022-04-30,周六,劳动节
486,2022-05-01,周日,劳动节
487,2022-05-02,周一,劳动节
488,2022-05-03,周二,劳动节
489,2022-05-04,周三,劳动节
490,2022-05-05,周四,工作日
491,2022-05-06,周五,工作日
492,2022-05-07,周六,劳动节
493,2022-05-08,周日,周末
494,2022-05-09,周一,工作日
495,2022-05-10,周二,工作日
496,2022-05-11,周三,工作日
497,2022-05-12,周四,工作日
498,2022-05-13,周五,工作日
499,2022-05-14,周六,周末
500,2022-05-15,周日,周末
501,2022-05-16,周一,工作日
502,2022-05-17,周二,工作日
503,2022-05-18,周三,工作日
504,2022-05-19,周四,工作日
505,2022-05-20,周五,工作日
506,2022-05-21,周六,周末
507,2022-05-22,周日,周末
508,2022-05-23,周一,工作日
509,2022-05-24,周二,工作日
510,2022-05-25,周三,工作日
511,2022-05-26,周四,工作日
512,2022-05-27,周五,工作日
513,2022-05-28,周六,周末
514,2022-05-29,周日,周末
515,2022-05-30,周一,工作日
516,2022-05-31,周二,工作日
517,2022-06-01,周三,工作日
518,2022-06-02,周四,工作日
519,2022-06-03,周五,端午节
520,2022-06-04,周六,端午节
521,2022-06-05,周日,端午节
522,2022-06-06,周一,工作日
523,2022-06-07,周二,工作日
524,2022-06-08,周三,工作日
525,2022-06-09,周四,工作日
526,2022-06-10,周五,工作日
527,2022-06-11,周六,周末
528,2022-06-12,周日,周末
529,2022-06-13,周一,工作日
530,2022-06-14,周二,工作日
531,2022-06-15,周三,工作日
532,2022-06-16,周四,工作日
533,2022-06-17,周五,工作日
534,2022-06-18,周六,周末
535,2022-06-19,周日,周末
536,2022-06-20,周一,工作日
537,2022-06-21,周二,工作日
538,2022-06-22,周三,工作日
539,2022-06-23,周四,工作日
540,2022-06-24,周五,工作日
541,2022-06-25,周六,周末
542,2022-06-26,周日,周末
543,2022-06-27,周一,工作日
544,2022-06-28,周二,工作日
545,2022-06-29,周三,工作日
546,2022-06-30,周四,工作日
547,2022-07-01,周五,工作日
548,2022-07-02,周六,周末
549,2022-07-03,周日,周末
550,2022-07-04,周一,工作日
551,2022-07-05,周二,工作日
552,2022-07-06,周三,工作日
553,2022-07-07,周四,工作日
554,2022-07-08,周五,工作日
555,2022-07-09,周六,周末
556,2022-07-10,周日,周末
557,2022-07-11,周一,工作日
558,2022-07-12,周二,工作日
559,2022-07-13,周三,工作日
560,2022-07-14,周四,工作日
561,2022-07-15,周五,工作日
562,2022-07-16,周六,周末
563,2022-07-17,周日,周末
564,2022-07-18,周一,工作日
565,2022-07-19,周二,工作日
566,2022-07-20,周三,工作日
567,2022-07-21,周四,工作日
568,2022-07-22,周五,工作日
569,2022-07-23,周六,周末
570,2022-07-24,周日,周末
571,2022-07-25,周一,工作日
572,2022-07-26,周二,工作日
573,2022-07-27,周三,工作日
574,2022-07-28,周四,工作日
575,2022-07-29,周五,工作日
576,2022-07-30,周六,周末
577,2022-07-31,周日,周末
578,2022-08-01,周一,工作日
579,2022-08-02,周二,工作日
580,2022-08-03,周三,工作日
581,2022-08-04,周四,工作日
582,2022-08-05,周五,工作日
583,2022-08-06,周六,周末
584,2022-08-07,周日,周末
585,2022-08-08,周一,工作日
586,2022-08-09,周二,工作日
587,2022-08-10,周三,工作日
588,2022-08-11,周四,工作日
589,2022-08-12,周五,工作日
590,2022-08-13,周六,周末
591,2022-08-14,周日,周末
592,2022-08-15,周一,工作日
593,2022-08-16,周二,工作日
594,2022-08-17,周三,工作日
595,2022-08-18,周四,工作日
596,2022-08-19,周五,工作日
597,2022-08-20,周六,周末
598,2022-08-21,周日,周末
599,2022-08-22,周一,工作日
600,2022-08-23,周二,工作日
601,2022-08-24,周三,工作日
602,2022-08-25,周四,工作日
603,2022-08-26,周五,工作日
604,2022-08-27,周六,周末
605,2022-08-28,周日,周末
606,2022-08-29,周一,工作日
607,2022-08-30,周二,工作日
608,2022-08-31,周三,工作日
609,2022-09-01,周四,工作日
610,2022-09-02,周五,工作日
611,2022-09-03,周六,周末
612,2022-09-04,周日,周末
613,2022-09-05,周一,工作日
614,2022-09-06,周二,工作日
615,2022-09-07,周三,工作日
616,2022-09-08,周四,工作日
617,2022-09-09,周五,工作日
618,2022-09-10,周六,中秋节
619,2022-09-11,周日,中秋节
620,2022-09-12,周一,中秋节
621,2022-09-13,周二,工作日
622,2022-09-14,周三,工作日
623,2022-09-15,周四,工作日
624,2022-09-16,周五,工作日
625,2022-09-17,周六,周末
626,2022-09-18,周日,周末
627,2022-09-19,周一,工作日
628,2022-09-20,周二,工作日
629,2022-09-21,周三,工作日
630,2022-09-22,周四,工作日
631,2022-09-23,周五,工作日
632,2022-09-24,周六,周末
633,2022-09-25,周日,周末
634,2022-09-26,周一,工作日
635,2022-09-27,周二,工作日
636,2022-09-28,周三,工作日
637,2022-09-29,周四,工作日
638,2022-09-30,周五,工作日
639,2022-10-01,周六,国庆节
640,2022-10-02,周日,国庆节
641,2022-10-03,周一,国庆节
642,2022-10-04,周二,国庆节
643,2022-10-05,周三,国庆节
644,2022-10-06,周四,国庆节
645,2022-10-07,周五,国庆节
646,2022-10-08,周六,国庆节
647,2022-10-09,周日,国庆节
648,2022-10-10,周一,工作日
649,2022-10-11,周二,工作日
650,2022-10-12,周三,工作日
651,2022-10-13,周四,工作日
652,2022-10-14,周五,工作日
653,2022-10-15,周六,周末
654,2022-10-16,周日,周末
655,2022-10-17,周一,工作日
656,2022-10-18,周二,工作日
657,2022-10-19,周三,工作日
658,2022-10-20,周四,工作日
659,2022-10-21,周五,工作日
660,2022-10-22,周六,周末
661,2022-10-23,周日,周末
662,2022-10-24,周一,工作日
663,2022-10-25,周二,工作日
664,2022-10-26,周三,工作日
665,2022-10-27,周四,工作日
666,2022-10-28,周五,工作日
667,2022-10-29,周六,周末
668,2022-10-30,周日,周末
669,2022-10-31,周一,工作日
670,2022-11-01,周二,工作日
671,2022-11-02,周三,工作日
672,2022-11-03,周四,工作日
673,2022-11-04,周五,工作日
674,2022-11-05,周六,周末
675,2022-11-06,周日,周末
676,2022-11-07,周一,工作日
